name,year,google_scholar_profile_quality,category,review_requested,reason,retained_concern,acm_fellow_profile,google_scholar_profile,acm_citation,scholar_name,scholar_affiliation,sample_publications,evidence_title,evidence_authors,supporting_source,shared_fellow,shared_fellow_quality,reviewed_at,scholar_fetched_at,scholar_capture_sha256,acm_fetched_at,acm_capture_sha256
Amir Pnueli,1996,N,missing_profile,N,No Scholar profile link is stored; N follows the user's explicit missing-profile policy and does not prove that no public profile exists.,,https://awards.acm.org/award-recipients/pnueli_4725172,,For seminal work introducing temporal logic into computing science and for outstanding contributions to program and system verification.,,,0,,,,,,2026-09-17T21:32:50-04:00,,,2026-09-13T23:42:05Z,a9be1283b790780e7a9a2b3463dc3c6ac41f7ef47a71f7051c5cd60e7ad0e446
Manuel Blum,1995,N,missing_profile,N,No Scholar profile link is stored; N follows the user's explicit missing-profile policy and does not prove that no public profile exists.,,https://awards.acm.org/award-recipients/blum_4659082,,In recognition of his contributions to the foundations of computational complexity theory and its application to cryptography and program checking.,,,0,,,,,,2026-09-17T21:32:50-04:00,,,2026-09-13T23:42:13Z,64cf66eb3b7fc6d0db4e3f56525c4d1a16146912390240bba7b96de38ea959ec
Edward A Feigenbaum,1994,N,missing_profile,N,No Scholar profile link is stored; N follows the user's explicit missing-profile policy and does not prove that no public profile exists.,,https://awards.acm.org/award-recipients/feigenbaum_4167235,,"For pioneering the design and construction of large scale artificial intelligence systems, demonstrating the practical importance and potential commercial impact of artificial intelligence technology.",,,0,,,,,,2026-09-17T21:32:50-04:00,,,2026-09-13T23:42:19Z,b7a3f103617ca41e250273ec36d92d2023c27650fd5366c82e36d2ae2fd2ccd5
Raj Reddy,1994,Y,thesis_or_project_credit_caveat,Y,"Speech recognition, Hearsay, Sphinx, AI systems and related applications fit ACM; a Lowerre-credited HARPY work needs attribution context but does not spoil the profile.",HARPY is credited to B. Lowerre; check the thesis/project or merged-record attribution if exact publication ownership matters.,https://awards.acm.org/award-recipients/reddy_9634208,https://scholar.google.com/citations?user=mYu2uuIAAAAJ,"For pioneering the design and construction of large scale artificial intelligence systems, demonstrating the practical importance and potential commercial impact of artificial intelligence technology.",Raj Reddy,"University Professor of Computer Science and Robotics, Carnegie Mellon University",20,The HARPY speech understanding system,B Lowerre,,Raj Reddy,Y,2026-09-17T21:32:50-04:00,2026-09-17T02:10:45Z,fba3eaa6d06389d8101114f78c7e258d1a0790c9a8871aa375b37ecf3b352254,2026-09-13T23:42:26Z,de0ecc3b03b2a99e552e4bcc1d0345b4519abd0960d110f2c4ca5d779e300d6e
Juris Hartmanis,1993,N,missing_profile,N,No Scholar profile link is stored; N follows the user's explicit missing-profile policy and does not prove that no public profile exists.,,https://awards.acm.org/award-recipients/hartmanis_1059260,,"With Richard E. Stearns, in recognition of their seminal paper which established the foundations for the field of computational complexity theory.",,,0,,,,,,2026-09-17T21:32:50-04:00,,,2026-09-13T23:42:33Z,95d5135d5f48c69c89f3687ddbee24511c57e4772dd706da31f41d974f3d2a99
Richard E Stearns,1993,N,missing_profile,N,No Scholar profile link is stored; N follows the user's explicit missing-profile policy and does not prove that no public profile exists.,,https://awards.acm.org/award-recipients/stearns_1081900,,"With Juris Hartmanis, in recognition of their seminal paper which established the foundations for the field of computational complexity theory.",,,0,,,,,,2026-09-17T21:32:50-04:00,,,2026-09-13T23:42:40Z,a016e4e596aeff3464f909877f07dee5595afe825daf57b0fbd2669f1c0100c9
Butler W Lampson,1992,Y,reasonable_sample,N,"Systems, security, distributed computing, networking and programming systems fit ACM and the Microsoft identity.",,https://awards.acm.org/award-recipients/lampson_1142421,https://scholar.google.com/citations?user=9eyvm28AAAAJ,"For contributions to the development of distributed, personal computing environments and the technology for their implementation: workstations, networks, operating systems, programming systems, displays, security and document publishing.",Butler Lampson,"Technical Fellow, Microsoft Research",20,,,,Butler W Lampson,Y,2026-09-17T21:32:50-04:00,2026-09-17T02:10:51Z,0578c3b66c009545feb81a3f7f0db8b6aae2cf4e77dcce9ef99040b15e5deffc,2026-09-13T23:43:44Z,53fbdc0f7f6afeea5fa81e9fa7b9f5ac87426c4156644e2c677a8955f6975437
A J Milner,1991,N,missing_profile,N,No Scholar profile link is stored; N follows the user's explicit missing-profile policy and does not prove that no public profile exists.,,https://awards.acm.org/award-recipients/milner_1569367,,"For three distinct and complete achievements: LCF, the mechanization of Scott's Logic of Computable Functions, probably the first theoretically based yet practical tool for machine assisted proof construction; ML, the first language to include polymorphic type inference together with a type-safe exception-handling mechanism; CCS, a general theory of concurrency. In addition, he formulated and strongly advanced full abstraction, the study of the relationship between operational and denotational semantics.",,,0,,,,,,2026-09-17T21:32:50-04:00,,,2026-09-13T23:43:50Z,e625e5a4e557b52fafb99877afc4e38b324701dbb53904fac34890f63b27acc3
Fernando Corbato,1990,N,missing_profile,N,No Scholar profile link is stored; N follows the user's explicit missing-profile policy and does not prove that no public profile exists.,,https://awards.acm.org/award-recipients/corbato_1009471,,"For his pioneering work organizing the concepts and leading the development of the general-purpose, large-scale, time-sharing and resource-sharing computer systems, CTSS and Multics.",,,0,,,,,,2026-09-17T21:32:50-04:00,,,2026-09-13T23:43:56Z,4179cdb430d0fcb3ff93201bffa4159fef0970eec8ceee131c1cbbce28d8fc37
William Kahan,1989,N,missing_profile,N,No Scholar profile link is stored; N follows the user's explicit missing-profile policy and does not prove that no public profile exists.,,https://awards.acm.org/award-recipients/kahan_1023746,,"For his fundamental contributions to numerical analysis. One of the foremost experts on floating-point computations. Kahan has dedicated himself to ""making the world safe for numerical computations!""",,,0,,,,,,2026-09-17T21:32:50-04:00,,,2026-09-13T23:44:04Z,ebefc8c8723aa3c907415788f15ce3c37e5a61151708cc4e13480b6f58400c25
Ivan Sutherland,1988,N,missing_profile,N,No Scholar profile link is stored; N follows the user's explicit missing-profile policy and does not prove that no public profile exists.,,https://awards.acm.org/award-recipients/sutherland_3467412,,"For his pioneering and visionary contributions to computer graphics, starting with Sketchpad, and continuing after.",,,0,,,,,,2026-09-17T21:32:50-04:00,,,2026-09-13T23:44:10Z,0ecc762adfb4ab103ec592cac730158e5d7cfbf7c27ba50acee6cd830d8f9bf2
John Cocke,1987,N,missing_profile,N,No Scholar profile link is stored; N follows the user's explicit missing-profile policy and does not prove that no public profile exists.,,https://awards.acm.org/award-recipients/cocke_2083115,,"For significant contributions in the design and theory of compilers, the architecture of large systems and the development of reduced instruction set computers (RISC); for discovering and systematizing many fundamental transformations now used in optimizing compilers including reduction of operator strength, elimination of common subexpressions, register allocation, constant propagation, and dead code elimination.",,,0,,,,,,2026-09-17T21:32:50-04:00,,,2026-09-13T23:44:18Z,129e4ea758265fd58ea5c4bc15a997be8ef74c074123b18af4442b73ad518df5
John E Hopcroft,1986,Y,reasonable_sample,N,"Automata, graph algorithms, data structures and later machine-learning applications fit ACM and the Cornell identity.",,https://awards.acm.org/award-recipients/hopcroft_1053917,https://scholar.google.com/citations?user=4Z6vo5QAAAAJ,For fundamental achievements in the design and analysis of algorithms and data structures.,John Hopcroft,Cornell University,20,,,,John E Hopcroft,Y,2026-09-17T21:32:50-04:00,2026-09-17T02:10:58Z,2aacd18e39b23e35650490057d6c47a76e5f783c5de642921779cdef46745fa5,2026-09-13T23:44:24Z,21c7672aa66f49226ff7bc456b9883b8a09ace1de29579039b504c5d42cc32ce
Robert E Tarjan,1986,Y,reasonable_sample,N,"Graph algorithms, data structures, amortized analysis and optimization form a coherent sample matching the ACM citation.",,https://awards.acm.org/award-recipients/tarjan_1092048,https://scholar.google.com/citations?user=lazJixIAAAAJ,For fundamental achievements in the design and analysis of algorithms and data structures.,Robert Tarjan,"Professor of Computer Science, Princeton University",20,,,,Robert E Tarjan,Y,2026-09-17T21:32:50-04:00,2026-09-17T02:11:04Z,32a37519244a5dd64694a8ce6b72652c7715c15ee8af60dc715a58e55e059220,2026-09-13T23:44:32Z,67ed2236aeb624047c02a5c06840352388d69778a12550dd5c7c7b4e8acf5a20
Richard Karp,1985,Y,reasonable_sample,N,"Complexity, combinatorial algorithms, networking and computational-biology applications fit ACM and the Berkeley identity.",,https://awards.acm.org/award-recipients/karp_3256708,https://scholar.google.com/citations?user=bYp8FsAAAAAJ,"For his continuing contributions to the theory of algorithms including the development of efficient algorithms for network flow and other combinatorial optimization problems, the identification of polynomial-time computability with the intuitive notion of algorithmic efficiency, and, most notably, contributions to the theory of NP-completeness. Karp introduced the now standard methodology for proving problems to be NP-complete which has led to the identification of many theoretical and practical problems as being computationally difficult.",Richard M. Karp,"University of California, Berkeley",20,,,,Richard Karp,Y,2026-09-17T21:32:50-04:00,2026-09-17T02:11:11Z,bc74ceceb5985ec038345371e60f4f4694acd43a98d62dc7e822acae74815a6a,2026-09-13T23:44:38Z,8bf880327cb2693b85323464be78a8e714786f24be0496165abef3b489030a8e
Niklaus E. Wirth,1984,N,missing_profile,N,No Scholar profile link is stored; N follows the user's explicit missing-profile policy and does not prove that no public profile exists.,,https://awards.acm.org/award-recipients/wirth_1025774,,"For developing a sequence of innovative computer languages, EULER, ALGOL-W, MODULA and PASCAL. PASCAL has become pedagogically significant and has provided a foundation for future computer language, systems, and architectural research.",,,0,,,,,,2026-09-17T21:32:50-04:00,,,2026-09-13T23:44:45Z,d9ca10d07846b05e24d7d85211e47d4d876b362898ea4007f1866504cba1a4a2
Dennis M. Ritchie,1983,Y,reasonable_sample,N,"UNIX, C, Bell Labs systems and early computation theory fit the ACM citation and captured identity.",,https://awards.acm.org/award-recipients/ritchie_1506389,https://scholar.google.com/citations?user=w1WB5d0AAAAJ,"With Ken Thompson, for their development of generic operating systems theory and specifically for the implementation of the UNIX operating system.",Dennis Ritchie,Bell Labs,20,,,,,,2026-09-17T21:32:50-04:00,2026-09-17T02:11:18Z,78fe1c85c88934ae30e2921b5ac71475187b2308bc504eb70267ad297b899a95,2026-09-13T23:44:52Z,4a83a6afb944b3f45773251e764f8e52de23e74354f16825fca98c03540862e1
Kenneth Lane Thompson,1983,Y,isolated_attribution_concern,N,"UNIX, regular expressions, Plan 9, systems and computer chess dominate; the Durkheim sociology book is an isolated namesake entry.","The Durkheim book is by the Open University sociologist Kenneth Thompson, distinct from the UNIX recipient; one outlier does not warrant N.",https://awards.acm.org/award-recipients/thompson_4588371,https://scholar.google.com/citations?user=FsHMg9AAAAAJ,"With Dennis M. Ritchie, for their development of generic operating systems theory and specifically for the implementation of the UNIX operating system.",Ken Thompson,Retired,20,Emile Durkheim,K Thompson,https://www.routledge.com/Emile-Durkheim/Thompson/p/book/9780415285315,Kenneth Lane Thompson,Y,2026-09-17T21:32:50-04:00,2026-09-17T02:11:24Z,2f0cf8bcef24810943f085943a248961384850e2d3f36743de50f442a603de05,2026-09-13T23:44:59Z,fae04a72a463447e244dc7ee7e98e2c184aa316bf848e36d10cb54825d049a3e
Stephen A Cook,1982,Y,isolated_attribution_concern,N,"Complexity theory, NP-completeness, proof systems and program verification dominate; one phage-lysozyme paper credits S. P. Cook rather than S. A. Cook.","The phage-lysozyme paper lists S. P. Cook, not complexity theorist Stephen A. Cook; the other 19 entries are coherent.",https://awards.acm.org/award-recipients/cook_N991950,https://scholar.google.com/citations?user=VGxPtzIAAAAJ,"For his advancement of our understanding of the complexity of computation in a significant and profound way. His seminal paper, ""The Complexity of Theorem Proving Procedures,"" presented at the 1971 ACM SIGACT Symposium on the Theory of Computing, laid the foundations for the theory of NP-Completeness. The ensuing exploration of the boundaries and nature of NP-complete class of problems has been one of the most active and important research activities in computer science for the last decade.",Stephen Cook,"Department of Computer Science, University of Toronto",20,Contributions of hydrogen bonds of Thr 157 to the thermodynamic stability of phage T4 lysozyme,"T Alber, S Dao-Pin, K Wilson, JA Wozniak, SP Cook, BW Matthews",https://pdbj.org/mine/summary/1L03,Stephen A Cook,Y,2026-09-17T21:32:50-04:00,2026-09-17T02:11:31Z,e02114a08c3a85115a21b42fd0d2301d00d77fbc30ab59af230d18984b76a9db,2026-09-13T23:45:06Z,828dffc38c2c85f0e96fdf79cd868f68e6198163da2249db8dc3a4774bdfd968
Edgar F. Codd,1981,N,missing_profile,N,No Scholar profile link is stored; N follows the user's explicit missing-profile policy and does not prove that no public profile exists.,,https://awards.acm.org/award-recipients/codd_1000892,,For his fundamental and continuing contributions to the theory and practice of database management systems.,,,0,,,,,,2026-09-17T21:32:50-04:00,,,2026-09-13T23:45:12Z,ed984e13f3a0d0d0e55dfa9910bd79c74c5cc50059c76fabdb1798a1c4130efe
C. Antony R. Hoare,1980,N,missing_profile,N,No Scholar profile link is stored; N follows the user's explicit missing-profile policy and does not prove that no public profile exists.,,https://awards.acm.org/award-recipients/hoare_4622167,,For his fundamental contributions to the definition and design of programming languages.,,,0,,,,,,2026-09-17T21:32:50-04:00,,,2026-09-13T23:45:19Z,70e757b28f03ccbe8a134612a25fe3a76a45fa7ed2d52eb6b203c47404ab1532
Kenneth E. Iverson,1979,N,missing_profile,N,No Scholar profile link is stored; N follows the user's explicit missing-profile policy and does not prove that no public profile exists.,,https://awards.acm.org/award-recipients/iverson_9147499,,"For his pioneering effort in programming languages and mathematical notation resulting in what the computing field now knows as APL, for his contributions to the implementation of interactive systems, to educational uses of APL, and to programming language theory and practice.",,,0,,,,,,2026-09-17T21:32:50-04:00,,,2026-09-13T23:45:25Z,e9c6fa20d534eb12208aa56381e7305342a7cb76c82d71f566b4354edbbe49bb
Robert W. Floyd,1978,N,missing_profile,N,No Scholar profile link is stored; N follows the user's explicit missing-profile policy and does not prove that no public profile exists.,,https://awards.acm.org/award-recipients/floyd_3720707,,"For having a clear influence on methodologies for the creation of efficient and reliable software, and for helping to found the following important subfields of computer science: the theory of parsing, the semantics of programming languages, automatic program verification, automatic program synthesis, and analysis of algorithms.",,,0,,,,,,2026-09-17T21:32:50-04:00,,,2026-09-13T23:45:33Z,ca67714158a9832b6424c38f5062146d67521862c92e43c98580d790b78dbf5d
John Backus,1977,N,missing_profile,N,No Scholar profile link is stored; N follows the user's explicit missing-profile policy and does not prove that no public profile exists.,,https://awards.acm.org/award-recipients/backus_0703524,,"For profound, influential, and lasting contributions to the design of practical high-level programming systems, notably through his work on FORTRAN, and for seminal publication of formal procedures for the specification of programming languages.",,,0,,,,,,2026-09-17T21:32:50-04:00,,,2026-09-13T23:45:39Z,f7d3ab6d17e7c9ee23986d1bac8d6fde27e8c0b6c3562c9992c5eadb4e2128a4
Dana S Scott,1976,Y,isolated_attribution_concern,N,"Automata, domain theory, semantics, lattices and logic dominate; one rheumatoid-arthritis prevalence study is a likely namesake outlier.",The rheumatoid-arthritis study credits a D. Scott in a UK clinical research context; this appears to be a namesake entry among 19 logic and semantics papers.,https://awards.acm.org/award-recipients/scott_1193622,https://scholar.google.com/citations?user=oaja5KYAAAAJ,"Along with Michael O. Rabin, for their joint paper ""Finite Automata and Their Decision Problem,"" which introduced the idea of nondeterministic machines, which has proved to be an enormously valuable concept. Their (Scott & Rabin) classic paper has been a continuous source of inspiration for subsequent work in this field.",Dana Scott,"Visiting Scholar, UC Berkeley",20,The prevalence of rheumatoid arthritis in the United Kingdom: new estimates for a new century,"D Symmons, G Turner, R Webb, P Asten, E Barrett, M Lunt, D Scott, ...",https://pubmed.ncbi.nlm.nih.gov/12096230/,Dana S Scott,Y,2026-09-17T21:32:50-04:00,2026-09-17T02:11:44Z,0bf9a663a9bd3a15d56277bf56ff955ca942422d0827d12d8b437f6bfd6ba199,2026-09-13T23:45:45Z,3098f93738b67c6f2c1fe0c202a168f9cf09dfb2a2ca716ccea7958b8dd52367
Michael O. Rabin,1976,Y,reasonable_sample,N,"Automata, computability, randomized algorithms and cryptography fit the ACM citation and Harvard identity.",,https://awards.acm.org/award-recipients/rabin_9681074,https://scholar.google.com/citations?user=_UUtVF4AAAAJ,"Along with Dana S. Scott, for their joint paper ""Finite Automata and Their Decision Problem,"" which introduced the idea of nondeterministic machines, which has proved to be an enormously valuable concept. Their (Scott & Rabin) classic paper has been a continuous source of inspiration for subsequent work in this field.",Michael Rabin,"Professor, Harvard University",20,,,,Michael O. Rabin,Y,2026-09-17T21:32:50-04:00,2026-09-17T02:11:49Z,ddef63f378b5da27e10884f1f784fabf8de9eca05d2b46e8150686a8862d2600,2026-09-13T23:45:53Z,c2bcf3c5b2b498397189adfb16141c7bc971b269b5df8ce67d4611a03a60146c
Allen Newell,1975,Y,reasonable_sample,N,"AI, cognition, problem solving, Soar and HCI fit the ACM citation and Carnegie Mellon identity; duplicate entries do not imply a mixed person.",,https://awards.acm.org/award-recipients/newell_3167755,https://scholar.google.com/citations?user=5WfqzjkAAAAJ,"In joint scientific efforts extending over twenty years, initially in collaboration with J. C. Shaw at the RAND Corporation, and subsequentially with numerous faculty and student colleagues at Carnegie-Mellon University, Newell and co-recipient Herbert A. Simon made basic contributions to artificial intelligence, the psychology of human cognition, and list processing.",Allen Newell,"Professor of Computer Science, Carnegie Mellon",20,,,,,,2026-09-17T21:32:50-04:00,2026-09-17T02:11:55Z,81fa59c8327c965bde1b60a68b197d5b774f40a91c77f4d7dce7e7332a9f2909,2026-09-13T23:45:59Z,f6acc5bc8260f4744b6d21708b0a364b765ef2ddf8a7f3a2b45915a1d9d47fdf
Herbert A. Simon,1975,N,missing_profile,N,No Scholar profile link is stored; N follows the user's explicit missing-profile policy and does not prove that no public profile exists.,,https://awards.acm.org/award-recipients/simon_1031467,,"In joint scientific efforts extending over twenty years, initially in collaboration with J. C. Shaw at the RAND Corporation, and subsequentially with numerous faculty and student colleagues at Carnegie-Mellon University, Simon and co-recipient Allen Newell made basic contributions to artificial intelligence, the psychology of human cognition, and list processing.",,,0,,,,,,2026-09-17T21:32:50-04:00,,,2026-09-13T23:46:05Z,299f6d93661d50ab8a8144a0d2acd0d885ab5dd48a6d983698e8349e63e28a31
Donald E Knuth,1974,Y,reasonable_sample,N,"Algorithms, programming languages, mathematical analysis and TeX fit ACM and the Stanford identity.",,https://awards.acm.org/award-recipients/knuth_1013846,https://scholar.google.com/citations?user=t0yrrzQAAAAJ,"For his major contributions to the analysis of algorithms and the design of programming languages, and in particular for his contributions to the ""art of computer programming"" through his well-known books in a continuous series by this title.",Donald E. Knuth,Stanford University,20,,,,Donald E Knuth,Y,2026-09-17T21:32:50-04:00,2026-09-17T02:12:03Z,0503576da3d2c0f2f5653c425ae1c113b027189c7b1748d7138463f18c0fd597,2026-09-13T23:46:12Z,448e147dc3efed63d68316ffb733b77dab5fe4cf9857b051759148fad6e31933
Charles W Bachman,1973,N,missing_profile,N,No Scholar profile link is stored; N follows the user's explicit missing-profile policy and does not prove that no public profile exists.,,https://awards.acm.org/award-recipients/bachman_9385610,,For his outstanding contributions to database technology.,,,0,,,,,,2026-09-17T21:32:50-04:00,,,2026-09-13T23:46:19Z,efc5ebc87d13aaa5251dae2298c0fc9c1a33f5f63783b5df622075d204f19bdf
Edsger W. Dijkstra,1972,N,missing_profile,N,No Scholar profile link is stored; N follows the user's explicit missing-profile policy and does not prove that no public profile exists.,,https://awards.acm.org/award-recipients/dijkstra_1053701,,"For fundamental contributions to programming as a high, intellectual challenge; for eloquent insistence and practical demonstration that programs should be composed correctly, not just debugged into correctness; for illuminating perception of problems at the foundations of program design.",,,0,,,,,,2026-09-17T21:32:50-04:00,,,2026-09-13T23:46:26Z,c2df529a76324136f236a37fc71ec69e48c21b76343f6ca040af7d5e8bc5c178
John McCarthy,1971,N,missing_profile,N,No Scholar profile link is stored; N follows the user's explicit missing-profile policy and does not prove that no public profile exists.,,https://awards.acm.org/award-recipients/mccarthy_1118322,,"Dr. McCarthy's lecture ""The Present State of Research on Artificial Intelligence"" is a topic that covers the area in which he has achieved considerable recognition for his work.",,,0,,,,,,2026-09-17T21:32:50-04:00,,,2026-09-13T23:47:36Z,186a91e0cbdcb48fa87b13be1159f685f9d48dca8e7bf18a8899bc45b028924a
J. H. Wilkinson,1970,Y,reasonable_sample,N,"Numerical linear algebra, eigenproblems, rounding and backward-error analysis fit the ACM citation and NPL identity.",,https://awards.acm.org/award-recipients/wilkinson_0671216,https://scholar.google.com/citations?user=cwbbYp8AAAAJ,"For his research in numerical analysis to facilitate the use of the high-speed digital computer, having received special recognition for his work in computations in linear algebra and ""backward"" error analysis.",James Hardy Wilkinson,National Physical Laboratory (deceased),20,,,,,,2026-09-17T21:32:50-04:00,2026-09-17T02:12:09Z,2420eec1f52ee9c3b20b527ee5a75c99e499d47f737c4a6d310ea358805e3c9c,2026-09-13T23:47:42Z,ea7d83f20198b6106f6806bb679a21dc41f08045b33d1db1fb4f029e7c5166f3
Marvin Minsky,1969,Y,reasonable_sample,N,"AI, cognition, perceptrons and computation dominate; isolated McCarthy credits and adjacent interdisciplinary work do not establish substantial contamination.",,https://awards.acm.org/award-recipients/minsky_7440781,https://scholar.google.com/citations?user=g_7VKegAAAAJ,"For his central role in creating, shaping, promoting, and advancing the field of Artificial Intelligence.",Marvin L. Minsky,MIT,20,,,,,,2026-09-17T21:32:50-04:00,2026-09-17T02:12:16Z,317fc3baf12c13586a7050fa801656449eefb25d94bfa323c7fe004a00e6714f,2026-09-13T23:47:48Z,a14094f80f3183eb9f3c99919a00a581eb8f8c2ac9922b8fee869e2dbf907d64
Richard W. Hamming,1968,N,missing_profile,N,No Scholar profile link is stored; N follows the user's explicit missing-profile policy and does not prove that no public profile exists.,,https://awards.acm.org/award-recipients/hamming_1000652,,"For his work on numerical methods, automatic coding systems, and error-detecting and error-correcting codes.",,,0,,,,,,2026-09-17T21:32:50-04:00,,,2026-09-13T23:47:55Z,8cc5e80176cc4fd73b902ce4da9093fe3d3bc0757c2f4c5f82645d81c371fb4c
Maurice V. Wilkes,1967,N,missing_profile,N,No Scholar profile link is stored; N follows the user's explicit missing-profile policy and does not prove that no public profile exists.,,https://awards.acm.org/award-recipients/wilkes_1001395,,"Professor Wilkes is best known as the builder and designer of the EDSAC, the first computer with an internally stored program. Built in 1949, the EDSAC used a mercury delay line memory. He is also known as the author, with Wheeler and Gill, of a volume on ""Preparation of Programs for Electronic Digital Computers"" in 1951, in which program libraries were effectively introduced.",,,0,,,,,,2026-09-17T21:32:50-04:00,,,2026-09-13T23:48:03Z,96b155c47f16dde1b11210c5e70c79c1fe4602a838ed6eb80a8743fc94f009a1
A. J. Perlis,1966,N,missing_profile,N,No Scholar profile link is stored; N follows the user's explicit missing-profile policy and does not prove that no public profile exists.,,https://awards.acm.org/award-recipients/perlis_0132439,,For his influence in the area of advanced programming techniques and compiler construction.,,,0,,,,,,2026-09-17T21:32:50-04:00,,,2026-09-13T23:48:11Z,176cbf25dde0631c11839134e0c61c08b4070495fd6d501f5560bd96c9a0273c
